frame_index,local_time,utc_time,sample_name,radius_m,direction,dx_vehicle_m,dy_vehicle_m,center_lon,center_lat,sample_lon,sample_lat,heading_deg,heading_convention,dem_sampling_mode,dem_mode,score,raw_score,norm_score,gradient_score,edge_iou,valid_count,valid_ratio,rough_min,rough_max,rough_mean,roughness_scale_m,dem_roughness_window_m,norm_lower_percentile,norm_upper_percentile
1,1780226422606.3823,1780226422606.3823,center,0.0,center,0.0,0.0,113.05863304429927,28.666087495845048,113.05863304429927,28.666087495845048,248.0207245127282,math,crop_rotate,local_roughness,0.11084077335211186,0.15634895539817506,0.14071464805047385,0.07432825983189163,0.10066045993474974,46103,0.184412,0,255,5.3206000328063965,2.5,1.0,2.0,98.0
2,1780226422885.185,1780226422885.185,center,0.0,center,0.0,0.0,113.05863303996728,28.666087493250522,113.05863303996728,28.666087493250522,248.0208900811382,math,crop_rotate,local_roughness,0.11669620438138095,0.1590744113311078,0.14297273490463377,0.08458044485296082,0.10346915823168094,42488,0.169952,0,255,5.129004001617432,2.5,1.0,2.0,98.0
3,1780226423069.6138,1780226423069.6138,center,0.0,center,0.0,0.0,113.05863303876878,28.66608749064976,113.05863303876878,28.66608749064976,248.02292359340993,math,crop_rotate,local_roughness,0.11579340233754454,0.157620219116094,0.14059844032365726,0.08547613368785117,0.10283315844700944,42039,0.168156,0,255,5.084864139556885,2.5,1.0,2.0,98.0
4,1780226423247.1907,1780226423247.1907,center,0.0,center,0.0,0.0,113.05863304203079,28.666087487713547,113.05863304203079,28.666087487713547,248.02138012803837,math,crop_rotate,local_roughness,0.1164850723547527,0.15934492683254292,0.14106672012867363,0.08644083618662705,0.1030520961234871,41919,0.167676,0,255,5.072472095489502,2.5,1.0,2.0,98.0
5,1780226423420.1243,1780226423420.1243,center,0.0,center,0.0,0.0,113.05863304385022,28.666087485760254,113.05863304385022,28.666087485760254,248.01998122649735,math,crop_rotate,local_roughness,0.11794436478433701,0.16096472445782203,0.14239624695101274,0.08805873102506666,0.10346671419659567,41271,0.165084,0,255,5.051583766937256,2.5,1.0,2.0,98.0
6,1780226423567.9155,1780226423567.9155,center,0.0,center,0.0,0.0,113.05863304363272,28.66608748417224,113.05863304363272,28.66608748417224,248.02238384221246,math,crop_rotate,local_roughness,0.1180518415341967,0.16113608768850354,0.14266296263166045,0.08797158241507434,0.10406113925175509,41410,0.16564,0,255,5.047800064086914,2.5,1.0,2.0,98.0
7,1780226423845.1226,1780226423845.1226,center,0.0,center,0.0,0.0,113.05863304268917,28.66608748228165,113.05863304268917,28.66608748228165,248.02021928052392,math,crop_rotate,local_roughness,0.11913984132902544,0.16324823326505575,0.14468044103706776,0.08792355279697374,0.10403491582791485,41308,0.165232,0,255,5.028063774108887,2.5,1.0,2.0,98.0
8,1780226424015.787,1780226424015.787,center,0.0,center,0.0,0.0,113.05863304273095,28.666087478950185,113.05863304273095,28.666087478950185,248.02164193233975,math,crop_rotate,local_roughness,0.11967026107155851,0.16356709339895598,0.14534340324988337,0.08829197618693922,0.103252177003732,41380,0.16552,0,255,5.028051853179932,2.5,1.0,2.0,98.0
9,1780226424259.8594,1780226424259.8594,center,0.0,center,0.0,0.0,113.05863304043247,28.66608747851149,113.05863304043247,28.66608747851149,248.02146040351292,math,crop_rotate,local_roughness,0.1177979509740195,0.1620096574933269,0.14336106470143958,0.08655414530717273,0.10338095660661993,41443,0.165772,0,255,5.021932125091553,2.5,1.0,2.0,98.0
10,1780226424443.559,1780226424443.559,center,0.0,center,0.0,0.0,113.0586330364836,28.666087476020646,113.0586330364836,28.666087476020646,248.02245844763573,math,crop_rotate,local_roughness,0.11806521084130077,0.1627653364460315,0.14494962817404683,0.08520647854572223,0.10197193107123823,41348,0.165392,0,255,5.017176151275635,2.5,1.0,2.0,98.0
11,1780226424616.5093,1780226424616.5093,center,0.0,center,0.0,0.0,113.05863302986795,28.666087473610656,113.05863302986795,28.666087473610656,248.02227236140578,math,crop_rotate,local_roughness,0.11954549793074719,0.16266870044938073,0.14534606902727318,0.08801146659054873,0.10400712377560106,41324,0.165296,0,255,5.014739990234375,2.5,1.0,2.0,98.0
12,1780226424868.2087,1780226424868.2087,center,0.0,center,0.0,0.0,113.05863302228268,28.666087471595763,113.05863302228268,28.666087471595763,248.02109988674044,math,crop_rotate,local_roughness,0.11826519766000095,0.160567268544334,0.1426337305910993,0.0884814351886585,0.10372670807453416,41456,0.165824,0,255,5.024712085723877,2.5,1.0,2.0,98.0
13,1780226425040.5354,1780226425040.5354,center,0.0,center,0.0,0.0,113.05863301703218,28.666087469434068,113.05863301703218,28.666087469434068,248.02177029084731,math,crop_rotate,local_roughness,0.11866485153627342,0.16165996816005987,0.14413394238762153,0.08753596271795902,0.10287335934728627,41448,0.165792,0,255,5.028019905090332,2.5,1.0,2.0,98.0
